,Company Name,Continent,Country,Visit ID,Visitor ID,Channel Group,Channel Medium,User Identification,Visit Date,Visit Start Time,Time on Site,Visits,Hits,Page Views,Event_buttonclick,Downloads,Video Views,Web Pages
0,Brown PLC,NA,Aruba,7554195286,93851391495976,Organic Search,Google,IP Address,2023-09-08,17:11:47,58,1,2,1,1,0,0,fakepage.co.uk/boom
1,,AS,Israel,5501549348,86998114631575,Organic Search,Google,Known Visitior,2023-06-10,08:29:38,191,4,6,1,5,0,0,fakepage.co.uk/products
2,"Brown, Salazar and Scott",EU,Liechtenstein,5714547224,73260184099296,Organic Social,Facebook,IP Address,2023-10-14,04:29:13,43,1,2,1,1,0,0,fakepage.co.uk/aboutus
3,,AS,Yemen,7327662554,28652824968709,Organic Search,Google,Known Visitior,2023-07-25,11:52:39,31,6,7,1,6,0,0,fakepage.co.uk/boom
4,,EU,Latvia,2753410303,53051893536221,Referral,Partner-site,IP Address,2023-09-06,00:41:39,67,1,2,1,1,0,0,fakepage.co.uk/main
5,Harris Inc,AS,Bahrain,2191655923,20780465183730,Email,Targeted Ad,IP Address,2023-10-13,12:32:44,159,1,2,1,1,0,0,fakepage.co.uk/products
6,,EU,Netherlands,2071013163,94293823829787,Email,Promo-Campaign,Known Visitior,2023-02-22,00:44:56,59,68,112,14,26,2,4,fakepage.co.uk/main
7,Cruz-Turner,EU,Gibraltar,6537182226,67778921545804,Organic Search,Google,Marketo,2023-05-14,02:38:57,56,4,5,1,4,0,0,fakepage.co.uk/main
8,Smith Inc,EU,Denmark,8328519792,12776695030524,Organic Social,Instagram,IP Address,2023-04-24,21:39:37,48,1,2,1,1,0,0,fakepage.co.uk/aboutus
9,"Buchanan, Davis and Golden",EU,Portugal,3730429989,39517365534363,Paid Search,Google,Known Visitior,2023-09-23,19:18:38,62,4,6,1,3,2,0,fakepage.co.uk/main
10,Coleman-Rivas,AS,Indonesia,4456630771,27492492435392,Referral,Partner-site,IP Address,2023-09-14,20:32:24,121,1,2,1,1,0,0,fakepage.co.uk/products
11,Crawford Group,EU,Liechtenstein,8199732369,17673571830835,Paid Search,Google,IP Address,2023-01-30,00:31:18,31,1,2,1,1,0,0,fakepage.co.uk/main
12,Owens-Henry,NA,Cuba,3317575786,92818382857464,Paid Search,Google,Marketo,2023-04-23,15:06:36,73,5,9,1,4,1,1,fakepage.co.uk/main
13,,AS,Bangladesh,5318963340,93059863825623,Direct,None,Known Visitior,2023-01-07,15:46:45,145,21,29,11,14,1,3,fakepage.co.uk/main
